locus_name	symbol	full_name
18S RRNA	18S RRNA	
25S RRNA	25S RRNA	
5.8S RRNA	5.8S RRNA	
AAN	AAN	ANOTHER ANDANTE
AAR1	AAR1	ALLYL ALCOHOL RESISTANT 1
AAR2	AAR2	ALLYL ALCOHOL RESISTANT 2
ACL1	ACL1	ACAULIS 1
ACL2	ACL2	ACAULIS 2
ACL3	ACL3	ACAULIS 3
ACL4	ACL4	ACAULIS 4
ADD1	ADD1	ARRESTED DEVELOPMENT 1
ADD2	ADD2	ARRESTED DEVELOPMENT 2
ADD3	ADD3	ARRESTED DEVELOPMENT 3
ADE1	ADE1	ABA DEREGULATED GENE EXPRESSION 1
AGE1	AGE1	AUXIN ALTERED GENE EXPRESSION 1
AGE2	AGE2	AUXIN ALTERED GENE EXPRESSION 2
AGI1	AGI1	ABERRANT GST1 INDUCTION
AHR1	AHR1	ALTERED HYDROTROPIC RESPONSE 1
AK2	AK2	ASPARTATE KINASE 2
ALB2	ALB2	ALBINA 2
ALB2	M4-6-18	
ALF3	ALF3	ABERRANT LATERAL ROOT FORMATION 3
ALI	ALI	ALIEN
ALR-104	ALR-104	ALUMINUM RESISTANT 104
ALR-128	ALR-128	ALUMINUM RESISTANT 128
ALS2	ALS2	ALUMINUM SENSITIVE 2
ALS4	ALS4	ALUMINUM SENSITIVE 4
ALS5	ALS5	ALUMINUM SENSITIVE 5
ALS7	ALS7	ALUMINUM SENSITIVE 7
AMOS2	AMOS2	AMMONIUM OVERLY SENSITIVE 2
AND	AND	ANDANTE
ANL1	ANL1	ANTHOCYANINLESS 1
AOP3	AOP3	
ARA1	Ara1	ARA1
ARA2	ARA2	
ARC10	ARC10	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 10
ARC2	ARC2	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 2
ARC4	ARC4	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 4
ARC7	ARC7	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 7
ARC8	ARC8	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 8
ARC9	ARC9	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 9
ARP1	ARP1	ALTERED RNASE PROFILES 1
ARS1	ARS1	ARSENIC RESISTANCE 1
ART1	ART1	AERIAL ROSETTE 1
ASC1	ASC1	ACCELERATION OF SYMPTOMS BY CAMV N7 1
AT1G01010	NAC001	NAC DOMAIN CONTAINING PROTEIN 1
AT1G01010	ANAC001	NAC DOMAIN CONTAINING PROTEIN 1
AT1G01010	NTL10	
AT1G01020	ARV1	
AT1G01030	NGA3	NGATHA3
AT1G01040	DCL1	DICER-LIKE 1
AT1G01040	CAF	CARPEL FACTORY
AT1G01040	SUS1	SUSPENSOR 1
AT1G01040	SIN1	SHORT INTEGUMENTS 1
AT1G01040	ASU1	ABNORMAL SUSPENSOR 1
AT1G01040	EMB60	EMBRYO DEFECTIVE 60
AT1G01040	ATDCL1	DICER-LIKE 1
AT1G01040	EMB76	EMBRYO DEFECTIVE 76
AT1G01046	MIR838A	MICRORNA838A
AT1G01050	PPa1	PYROPHOSPHORYLASE 1
AT1G01050	AtPPa1	PYROPHOSPHORYLASE 1
AT1G01060	LHY	LATE ELONGATED HYPOCOTYL
AT1G01060	LHY1	LATE ELONGATED HYPOCOTYL 1
AT1G01070	UMAMIT28	USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 28
AT1G01080	CP28B	CHLOROPLAST RNA BINDING PROTEIN 28B
AT1G01090	PDH-E1 ALPHA	PYRUVATE DEHYDROGENASE E1 ALPHA
AT1G01100	RPP1A	60S ACIDIC RIBOSOMAL PROTEIN P1-1
AT1G01100	P1W	RIBOSOMAL PROTEIN P1W
AT1G01100	RPP1.1	RPP1 CO-ORTHOLOGOUS GENE 1
AT1G01110	IQD18	IQ-DOMAIN 18
